Source,SamplingMethod,SampleID,CollectionDate,Genus,Species,Location,Latitude,Longitude,StartLat,StartLong,MidLat,MidLong,EndLat,EndLong,ReleaseLat,ReleaseLong,Depth_m,ShotDuration_mins,Sex,Weight_g,SVL_cm,TailL_cm,PIT_tag,DArTseq,Notes
trawled_seasnakes.xlsx,Trawl,SS170519-04,2017/05/19,Aipysurus,foliosquama,Shark Bay,,,-25.254000,113.630317,-25.238308,113.622083,-25.222617,113.613850,,,11.90,30,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS170519-05,2017/05/19,Aipysurus,foliosquama,Shark Bay,,,-25.138967,113.474550,-25.123350,113.464700,-25.107733,113.454850,,,17.60,30,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS171014-02,2017/10/14,Aipysurus,foliosquama,Pilbara,,,,,-19.709453,117.830555,,,,,60.00,,,,,,,,"W56, RV Investigator"
trawled_seasnakes.xlsx,Trawl,SS171018-01,2017/10/18,Aipysurus,foliosquama,Pilbara,,,,,-20.157877,117.923990,,,,,33.00,,,,,,,,"W10, RV Investigator"
trawled_seasnakes.xlsx,Trawl,SS171018-05,2017/10/18,Aipysurus,foliosquama,Pilbara,,,,,-20.047491,117.444394,,,,,49.50,,,,,,,,"W22, RV Investigator"
trawled_seasnakes.xlsx,Trawl,SS171107-01,2017/11/07,Aipysurus,foliosquama,Shark Bay,,,-24.940667,113.296633,-24.931983,113.298708,-24.923300,113.300783,,,22.80,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS171108-02,2017/11/08,Aipysurus,foliosquama,Shark Bay,,,-24.914100,113.202733,-24.922475,113.198533,-24.930850,113.194333,,,19.50,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS171108-04,2017/11/08,Aipysurus,foliosquama,Shark Bay,,,-25.058700,113.338083,-25.066558,113.343258,-25.074417,113.348433,,,24.40,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS171108-05,2017/11/08,Aipysurus,foliosquama,Shark Bay,,,-25.058700,113.338083,-25.066558,113.343258,-25.074417,113.348433,,,24.40,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS171110-02,2017/11/10,Aipysurus,foliosquama,Shark Bay,,,-25.245167,113.608500,-25.236508,113.610525,-25.227850,113.612550,,,14.70,20,,,,,,,
